Nome da Montadora,Nome do Modelo,Classificação do Modelo,Ano,Filtro do Ar,Filtro do Óleo,Filtro do Óleo Opcional,Filtro do Combustível,Filtro de Combustível Opcional,Filtro de Cabine,Filtro de Cabine com Carvão,Posição
Alfa Romeo,145,(Elegant / Quadrifoglio) ‐ gasolina ‐ mecânico,1996 ‐‐>,FAP5303,WO170,WUNI0004,FCI1107A,,AKX35141,,A
Alfa Romeo,145,(Elegant) ‐ gasolina ‐ mecânico,95 ‐‐ 98,FAP5303,WO170,WUNI0004,FCI1110S,FCI1660,AKX35141,,A
Alfa Romeo,145,(Elegant) ‐ gasolina ‐ mecânico,96 ‐‐ 99,FAP3212,,,FCI1110S,FCI1660,AKX35141,,A
Alfa Romeo,147,(Twin Spark) ‐ gasolina ‐ Semi automático / automático,03 ‐‐ 05,FAP4206,WO170,WUNI0004,,,,AKX1373/C,A
Alfa Romeo,155,(Twin Spark / Elegant / Super) ‐ gasolina ‐ mecânico,95 ‐‐ 97,FAP5303,WO170,WUNI0004,FCI1107A,,AKX35141,,A
Alfa Romeo,156,(Twin Spark / Elegant / Super / Sportwagon) ‐ mecânico,01 ‐‐ 02,WR348/1,WO170,WUNI0004,,,AKX35125,AKX35125/C,A
Alfa Romeo,156,(Twin Spark / Elegant / Super) ‐ mecânico,99 ‐‐ 00,WR348/1,,WUNI0004,,,AKX35125,AKX35125/C,A
Alfa Romeo,164,‐‐,95 ‐‐ 96,FAP2005,WO390,WUNI0001,FCI1107A,,AKX3597,,A
Alfa Romeo,164,gasolina ‐ automático / mecânico,92 ‐‐ 95,FAP2005,WO390,WUNI0001,FCI1105A,,AKX3597,,A
Alfa Romeo,166,gasolina ‐ automático,99 ‐‐ 03,WR348/1,WO170,WUNI0004,,,AKX35611,,A
Alfa Romeo,Spider,‐‐,91 ‐‐ 94,FAP2002,WO460,WUNI0001,FCI1105A,,AKX35141,,A
Alfa Romeo,Spider,‐‐,91 ‐‐ 97,WR348/1,WO390,WUNI0001,FCI1107A,,AKX35141,,A
Asia,Hi Topic,(Van / Furgão / SLX / SDX / DLX / STD / Full) ‐ diesel ‐ mecânico,94 ‐‐ 97,JFA0K01,JFO0984,,JFC509,JFC509/2,,,
Asia,Hi Topic,(Van / Furgão / SLX / SDX / DLX / STD / Full) ‐ diesel ‐ mecânico,98 ‐‐ 99,JFA0983/1,JFO0K01/1,,JFC509,JFC509/2,,,
